subject,catalog_num,title_units,description
COMM_ST,221-0,COMM_ST 221-0 Media & Publics Across Cultures (1 Unit),"This course examines communication and culture in an increasingly digital and globalized present, using a combination of theoretical texts and case studies to understand the complex relationship between media and publics around the world."
COMM_ST,225-0,COMM_ST 225-0 Communication and Culture (1 Unit),"How the concept of ""culture"" is constituted and disseminated through practices, processes, and mechanisms of ""communication."" Theories of myriad forms of mediation-interpersonal, off-and- online, popular, and mass-mediated-shaping our relationships with ourselves and the world around us."
COMM_ST,227-0,COMM_ST 227-0 Communication & Technology (1 Unit),"Examines factors informing and shaping the design of everyday objects and our virtual world; psychological aspects of computer-mediated communication and virtual collaboration, including impression formation, group dynamics, and social networks; social and institutional structures in which human communication is situated. Prerequisite for the Digital Media undergraduate curriculum module."
COMM_ST,228-0,COMM_ST 228-0 AfroFeministFutures (1 Unit),"This course invites students to explore Black and feminist speculative fiction as a site for social justice advocacy. Students will read classic feminist and afrofuturist science fiction as they prepare their own original short stories for publication. Drawing heavily on the work of feminist afrofuturist Octavia Butler, students will engage imaginative narratives that allow them to think through solutions to the problems of our time. Students will explore the genre elements of short stories and speculative fiction, ultimately integrating these lessons into their own short stories. This is a writing and reading intensive class."
COMM_ST,241-0,COMM_ST 241-0 Theories of Relational Communication (1 Unit),"An overview of communication theories and research dealing with developing, sustaining, and terminating interpersonal relationships. Direct application to friendship, work, and romantic relationships."
COMM_ST,246-0,COMM_ST 246-0 Intro to Health Communication (1 Unit),"Introduction to health communication. Key areas of the field, with focus on providers, patients and their families, hospital networks, nonprofit organizations, and government agencies."
COMM_ST,248-0,COMM_ST 248-0 Black Feminist Health Science Studies (1 Unit),"Black feminist health science studies is an emergent subfield and critical intervention into a number of intersecting arenas of scholarship and activism. Students in this course will examine important issues in healthcare and science by analyzing some of the foundational assumptions in the field of medicine. We will use contemporary as well as historical moments to investigate the evolution of “scientific truth” and its impact on the U.S. cultural landscape. Students will engage theories that range from explorations of the linguistic metaphors of the immune system, the medicalization of race, to critiques of the sexual binary, all in an effort to uncover some of the beliefs that have become central to science. Students will work to make their learning accessible to people outside the institution by creating podcast episodes that address current issues in this area."
COMM_ST,250-0,COMM_ST 250-0 Team Leadership and Decision Making (1 Unit),Theories and research relating to communication in small groups and group decision making.
COMM_ST,250-SA,COMM_ST 250-SA Team Leadership and Decision Making (1 Unit),Theories and research relating to communication in small groups and group decision making.
COMM_ST,255-0,"COMM_ST 255-0 Understanding Media Markets: Users, Makers and Metrics (1 Unit)","How the preferences and habits of media users, the strategies and constraints of media makers, and the growing prevalence of data and metrics form a dynamic marketplace that shapes public attention."
COMM_ST,261-0,COMM_ST 261-0 Introduction to Strategic Communication (1 Unit),"The affordances of new technologies and changes in the modern business landscape have fundamentally transformed strategic communication. Where previous research and practice has separated public relations from organizational communication, the modern environment makes such a distinction not only meaningless, but dangerous. This course, using case studies and foundational readings, explores the nature of the modern organization and the role of communication in it."
COMM_ST,263-0,COMM_ST 263-0 Risk Communication (1 Unit),"What is effective risk communication? If the last few years have taught us anything, it is the need for effective risk communication. Readings and lectures will examine social psychology and communication discoveries that inform our understanding of how people interpret risk information and make decisions. Through discussions, in-class activities, and student-led projects, students will explore the creation and evaluation of effective risk messages. Special emphasis will be given to the context of health and the environment."
COMM_ST,270-0,COMM_ST 270-0 Media Effects (1 Unit),"Media content and effects are explored in various domains, including politics, violence, sexuality, marketing, health, science, and video games. The course begins with a historical overview of theory, methodology and research in the realm of media effects. The course continues with extensive survey of contemporary research about the role of media in facilitating changes in people and society, and consideration of possible explanations of how media effects occur. The course will conclude with discussion of possible ways to diminish socially undesirable media effects and enhance pro-social influence."
COMM_ST,274-0,COMM_ST 274-0 Power in Entertainment (1 Unit),"How power is created, sustained, and challenged in entertainment media; how and why individuals, groups, and corporations achieve and maintain dominance in art, film, television, gaming, and digital and social media."
COMM_ST,275-0,COMM_ST 275-0 Persuasive Images: Rhetoric of Popular Culture (1 Unit),"Analysis of image-making in all forms of popular culture-in film and television but also shopping malls, supermarkets, car dealers, and doctors' offices."
COMM_ST,276-0,COMM_ST 276-0 The Construction of Value in Cultural Markets (1 Unit),"This course explores the dynamics of value creation in markets for symbolic goods. Why do people pay millions for a painting of one artist rather than another? Why do some brands become globally sought after, while others never make it beyond their national context? Students will be acquainted with key approaches to the study of cultural markets from a sociological perspective. They will learn, for example, about the significance of the status structure of cultural markets, of price signals, market classifications, the construction of meaning around market categories, the dynamics of branding for crossing national boundaries, or the influence of cultural critics and broader discourses for valuation processes. Each week, the course will be complemented with collaborative team discussions in which students will engage with a substantive case to learn how to connect theoretical concepts with illuminating empirical analysis."
COMM_ST,290-0,COMM_ST 290-0 Forensics (1 Unit),Independent research and analysis in conjunction with participation in intercollegiate forensics. Credit may not be earned for 290 more than once.
COMM_ST,294-0,COMM_ST 294-0 First-Year Seminar (1 Unit),Study in seminar format of a topic in communication. Assignments emphasize expository writing. SOC First-Year Seminar
COMM_ST,295-0,COMM_ST 295-0 Topics in Communication Studies (1 Unit),"Reading, research, and discussion in areas of significance. Topics vary."
COMM_ST,298-0,COMM_ST 298-0 Undergraduate Seminar (1 Unit),Student or faculty initiated seminars to consider special topics. Credit for 298 may be earned more than once. No more than 2 units of such credit may be applied toward fulfillment of the major requirements.
COMM_ST,301-0,COMM_ST 301-0 Current Issues in Privacy (1 Unit),"The texture of interactions affecting privacy: government and workplace monitoring and surveillance, invasion of privacy by social media, disclosure to unintended Internet audiences, database aggregation, privacy and the person."
COMM_ST,302-0,COMM_ST 302-0 Law of the Creative Process (1 Unit),"Principles of copyright, contracts, and entertainment business practices from the perspective of the producer, artist, and creator."
COMM_ST,303-0,COMM_ST 303-0 Communication and Misinformation (1 Unit),"This course will explore the factors that make people vulnerable to misinformation and the reasons that corrections so often fail to change their minds. We will also analyze how those tendencies are enhanced by media technologies and exploited by various stakeholders. In addition, we will consider possible remedies that could be employed to combat misperceptions. Finally, students will put knowledge into practice, by producing an original podcast episode in small groups."
COMM_ST,310-0,"COMM_ST 310-0 Rhetoric, Democracy & Empire in Classical Athens (1 Unit)",Students will read Thucydides' History of the Peloponnesian War along with texts in classical rhetoric to address perennial problems regarding the role of speech in a democratic society.
COMM_ST,314-0,COMM_ST 314-0 Rhetoric and Public Commemoration (1 Unit),"Public commemoration as a rhetorical phenomenon. Through discussion of scholarly literature and production of research papers, students investigate questions such as: How do societies remember the past? What do the strategies for remembering the past teach us about the present? How are 'collective memories' produced and challenged?"
COMM_ST,315-0,COMM_ST 315-0 Rhetoric of Social Movements (1 Unit),"Study of traditional theories of opposition derived from sociological and rhetorical analyses of mass movements. Examines new social movements such as advocacy groups related to abortion, animal rights, feminism, and other local and national issues."
COMM_ST,317-0,"COMM_ST 317-0 Voice, Violence, and Democracy (1 Unit)","Understanding how and why ""democracy"" has come to be regarded today as the only ""legitimate"" form of government; explored by examining alternative roads to modernity and democratic polity taken by different countries through the dialectic of voice (rhetoric) and violence in contemporary democracies."
COMM_ST,324-1,"COMM_ST 324-1 Rhetoric of U.S. Women's Rights, Colonial to 1920 (1 Unit)","Students in this course investigate the early U.S. women’s rights movement through the analysis of primary texts and the examination of critical essays. Students should expect to gain a complex and nuanced perspective on the rhetorical history of public advocacy by U.S. women, and also to improve their skills in critical reading and analysis."
COMM_ST,324-2,"COMM_ST 324-2 Rhetoric of U.S. Women's Rights, 1920-Present (1 Unit)",Students in this course investigate the discourse of contemporary U.S. feminisms through the analysis of primary texts and the examination of critical essays. Students who complete the course successfully should expect to gain a complex and nuanced perspective on the rhetoric of U.S. feminisms and to improve their skills in critical reading and analysis.
COMM_ST,326-0,COMM_ST 326-0 African American Rhetoric (1 Unit),Survey of key texts of 20th century African American public discourse as well as a forum to discuss those texts and engage them analytically and critically.
COMM_ST,339-0,COMM_ST 339-0 Health Communication and Precision Medicine (1 Unit),"This applied course will provide you with a basic understanding of precision medicine and an in depth understanding of health communication theory and practice. Specifically, we will use precision medicine as a case in which to explore pertinent theories and principles of health communication such as complexity, risk, and uncertainty. By the end of this course, you should have an understanding of opportunities for communication scholarship to contribute to the advancement of precision medicine."
COMM_ST,340-0,COMM_ST 340-0 Community Integration of Labeled People (1 Unit),"Examination of local integration initiatives, the role of professionals, the language used to describe the initiatives, the social service system's responses, and the agents and communities that have constructed inclusive environments for people labeled with disabilities."
COMM_ST,341-0,COMM_ST 341-0 Communication and Aging (1 Unit),Relationship between adult developmental processes and changes in communication behavior.
COMM_ST,342-0,"COMM_ST 342-0 The Experience of Chronic Illness: Body, Self, and Story (1 Unit)","This course is an introduction to social scientific models of the experience of illness, especially chronic illness. Chronic illnesses are the leading cause of death and disability in the U.S. and account for 86% of health care expenditures. Acute illness, trauma, and injury are important issues in healthcare, and we will touch on them briefly. But in the realm of human health, most of the major structural, systemic, cultural, financial, professional, emotional, and psychological challenges that face the American people and the US healthcare system center on chronic illness. The goal of the course is to equip students with a conceptual understanding of the experience of chronic illness, and a vocabulary for describing the experience of illness, so that they are better able to design, redesign and optimize healthcare systems and structures to better meet the needs of chronically ill people."
COMM_ST,344-0,COMM_ST 344-0 Interpersonal Conflict (1 Unit),"In-depth analysis of theories and research examining conflict within relationships. Special emphasis on conflict within friendships, dating relationships, and family. COMM_ST 205-0 ."
COMM_ST,345-0,COMM_ST 345-0 Family Communication (1 Unit),"An overview of the family as a communication system. Intergenerational interaction patterns, intimacy and conflict patterns, decision making, environmental and cultural factors, and enrichment efforts. A wide range of family types and research methods are considered. COMM_ST 241-0 ."
COMM_ST,350-0,COMM_ST 350-0 Organizational Leadership (1 Unit),"This course enables students to think critically about leadership in organizations by understanding five facets of leadership. The five facets are areas of theorizing that explain what makes leadership effective: features, functions, form, fit, and focus. We will learn to answer questions about who is influential, what makes for good leadership, when (under what conditions?), and why (through what mechanisms?) is leadership successful. We explore leadership concepts using a set of illustrative case studies of interesting people who have led interesting lives of impact."
COMM_ST,350-SA,COMM_ST 350-SA Organizational Leadership (1 Unit),"This course enables students to think critically about leadership in organizations by understanding five facets of leadership. The five facets are areas of theorizing that explain what makes leadership effective: features, functions, form, fit, and focus. We will learn to answer questions about who is influential, what makes for good leadership, when (under what conditions?), and why (through what mechanisms?) is leadership successful. We explore leadership concepts using a set of illustrative case studies of interesting people who have led interesting lives of impact."
COMM_ST,351-0,COMM_ST 351-0 Technology & Human Interaction (1 Unit),"Understanding human interactions that take place both with and through technology; design, creation, and evaluation of technologies to support such interactions."
COMM_ST,352-0,COMM_ST 352-0 Social Network Analysis (1 Unit),"Use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales, ranging from small groups to the web. How we create social, economic, and technological networks; how these networks enable and constrain our attitudes and behavior."
COMM_ST,352-SA,COMM_ST 352-SA Social Network Analysis (1 Unit),"Use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales, ranging from small groups to the web. How we create social, economic, and technological networks; how these networks enable and constrain our attitudes and behavior."
COMM_ST,353-0,COMM_ST 353-0 Collaboration Technology (1 Unit),"Communication and behavior in groups; issues raised by collaborative use of communication and computing technologies. Topics include theories of group and organizational behavior, interpersonal awareness, privacy, trust, technology-mediated communication, and technology evaluation and adoption."
COMM_ST,355-0,COMM_ST 355-0 Audience Analysis (1 Unit),Methods used to analyze electronic media audiences; emphasis on quantitative research techniques. COMM_ST 201-0 (or equivalent); COMM_ST 270-0 .
COMM_ST,358-0,COMM_ST 358-0 Algorithms and Society (1 Unit),"Computing technologies play a role in an increasing percentage in our lives. They help to define the information we consume, the jobs that are available to us, and even our romantic partners. While these technologies bring us many benefits – more appealing information, better jobs – an increasing body of research suggests that they may also have critical negative side-effects or externalities. These externalities may be serious: some have attributed recent election outcomes and future massive-scale job loss to computing technologies (at least in part), even suggesting that we need a new “societal business model” [1]. In this course, we will first review and discuss this body of research. We will then shift towards developing potential solutions to these problems. Ultimately, my hope is that students who take this course will be better equipped to build technologies that are more likely to have a net positive effect on society."
COMM_ST,360-0,COMM_ST 360-0 Theories of Organizational Communication (1 Unit),Theories and research dealing with communication in formal organizations and institutions.
COMM_ST,363-0,COMM_ST 363-0 Bargaining and Negotiation (1 Unit),Communication in bargaining and negotiation in organizational settings. Cognitive and motivational theories emphasizing bargaining and negotiation strategies.
COMM_ST,364-0,COMM_ST 364-0 Collective Decision Making & Communication in Organizations (1 Unit),"Research on how organizations make, communicate, and implement collective decisions. Assessing decision effectiveness, group decision making, leadership in organizations, and organizational design."
COMM_ST,365-0,COMM_ST 365-0 Organizational Assessment (1 Unit),Advanced concepts and techniques for defining and analyzing organizational problems. Preparation for recognizing and working with problems in business organizations.
COMM_ST,367-0,COMM_ST 367-0 Nonprofit Communication Management (1 Unit),Nongovernmental organizations and the campaigns they create. Examined through three interrelated modules: differentiating nongovernmental organizations from business and government organizations; issues they face that their government and business counterparts do not; nonprofit campaigns and public communication.
COMM_ST,370-0,COMM_ST 370-0 Ethnographies of Culture (1 Unit),"This course looks at ethnographies of artistic practice to better understand how culture is made, circulated, and received in social life."
COMM_ST,371-0,COMM_ST 371-0 Cultural Analytics (1 Unit),"Big data is currency, to those initiated in the nuts and bolts of data science. This data literacy course introduces research on cultural markets, superstars, social media, and crowdsourcing, and provides you with tools to apply this research. You will learn how to plot and interpret graphs to measure performance in a cultural market; use Internet search data and Twitter conversations to forecast trends; build, visualize, and analyze networks; and to train machine learning algorithms for prediction. Except an open mind, there are no prerequisites for the class. While formal thinking is encouraged, the course focuses on providing conceptual foundations and hands-on tools that apply across a variety of fields in communication, computer science, economics, life sciences, and sociology."
COMM_ST,372-0,COMM_ST 372-0 Creativity in Context (1 Unit),"This course explores an intriguing problem in social scientific analysis: the production of new ideas and practices as well as the reputations of their creators: How do communication flows in social and cultural contexts affect creative output and innovations? How do professional communities collectively determine when ideas are original, instead of misguided or infeasible? How does this compare across the media, the arts, or the economy? Students will be acquainted with key approaches to creativity and innovation in sociology, communication studies, organizational analysis, urban studies, and economics. Through weekly assignments, students also will build important skills to develop an independent creative research project and gain insights for their future creative professional work. The course will involve brief lectures, student presentations, discussions, small group activities, and a collective interview with a creative expert."
COMM_ST,373-0,COMM_ST 373-0 Environmental Art and Advocacy (1 Unit),"This course examines the use of visual and media arts for public advocacy regarding environmental concerns. We focus on advocacy groups using artistic works, practices, or techniques, and on artists shaping their work to inform and persuade the public."
COMM_ST,374-0,COMM_ST 374-0 Interactive Museum Exhibit Design (1 Unit),"This course is for undergraduate students interested in the design of interactive museum exhibits. Students will engage with readings about the role museums play in public education and communication, how to design museum exhibits, the role technology can play in making museums interactive, and methods for evaluating learning and engagement at museum exhibits. Individual assignments will include analyzing and presenting on an existing museum exhibit and creating a design pitch for a novel museum exhibit. Students will work in groups towards the end of the quarter to develop an in-depth design and evaluation plan for a novel museum exhibit and, as the final project, create a paper prototype of the exhibit. No previous design or technology experience is needed for students to enroll in this course."
COMM_ST,375-0,COMM_ST 375-0 The Sociology of Online News (1 Unit),Survey of sociological research on the production and consumption of online news.
COMM_ST,376-0,COMM_ST 376-0 Contemporary Television (1 Unit),"Changes in the art and business of television with the introduction of new media. Production, storytelling, identity, and distribution of TV and web entertainment."
COMM_ST,378-0,COMM_ST 378-0 Online Communities and Crowds (1 Unit),"Examination of the types of collaborations that occur in online communities and crowds. Emphasis on sociological, economic, and political analysis of how and why largescale online collaborations work."
COMM_ST,380-0,COMM_ST 380-0 Political Communication (1 Unit),"Nature and functions of communication within established political institutions; decision making strategies, deliberative discourse, and electoral campaigns; field study of advocacy and interest groups. COMM_ST 205-0 ."
COMM_ST,381-0,"COMM_ST 381-0 Media, Movements, & Social Change (1 Unit)","Social movements are formed through communication and it is through communication that they achieve much of their strategic objectives. This course explores the complex relationships between communication and social movements, bringing together theories from communication studies, sociology, and political science, as well as tracing historically how social movements have developed new practices of achieving social change. Advanced Expression Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
COMM_ST,383-0,"COMM_ST 383-0 Media, Communication, and Environment (1 Unit)","Exploring, understanding, and researching questions and issues related to the environment and climate through the study of media and communication."
COMM_ST,386-0,"COMM_ST 386-0 Science, Technology, and Society (1 Unit)",Examination of developments in information and communication technology in the larger context of American science and technology since 1900.
COMM_ST,387-0,COMM_ST 387-0 Critical Internet Studies (1 Unit),"This course focuses on current issues in the field of Critical Internet Studies, with special attention directed to power dynamics related to the structures, designs, and uses of internet-related technologies. We will touch on the economic, political, social, and cultural significance of the internet, and work to analyze how existing oppressive power dynamics relating to racism, gender-based violence, and other forms of discrimination are entwined in various media issues.   Readings focus on timely topics (e.g., memes, platform politics, misinformation, surveillance, algorithmic bias, tech and social justice, and more) across internet-related media and from historical, transnational, and multiple methodological perspectives. We will dig into the tension between commercial interests and creative uses of internet-related technologies.    This class offers an opportunity to discuss the internet in a fundamental way. The seminar format allows students to engage with complex ideas, and to develop and refine critical thinking, verbal, and writing skills in an interactive and collective way."
COMM_ST,388-0,COMM_ST 388-0 Internet and Society (1 Unit),"The social, cultural, political, and economic implications of information technologies."
COMM_ST,389-0,COMM_ST 389-0 Practicum in Communication Research (1 Unit),Collaboration with a faculty member on design and execution of a communication research project. Students learn how to complete a research project and write a report.
COMM_ST,390-0,COMM_ST 390-0 Children's Culture (1 Unit),"Examination of children's media from psychological, sociological, historical, and other perspectives. Discussion of the role of media in children's development."
COMM_ST,392-0,"COMM_ST 392-0 Global Culture, Commerce and Communication (1 Unit)",Examination of current topics and events to familiarize students with the cultural dimensions of globalization and the critical importance of culture and communication in understanding the globalized world.
COMM_ST,394-0,COMM_ST 394-0 Communication Studies Research Seminar (1 Unit),Small seminars in research topics led by different members of the department faculty. Students complete a research paper on a topic related to the seminar theme. COMM_ST 294-0 .
COMM_ST,395-0,COMM_ST 395-0 Topics in Communication Studies (1 Unit),"Reading, research, and discussion in areas of significance. Topics vary."
COMM_ST,395-SA,COMM_ST 395-SA Topics in Communication Studies (1 Unit),"Reading, research, and discussion in areas of significance. Topics vary."
COMM_ST,397-0,COMM_ST 397-0 Honors Seminar (1 Unit),"Students work on a 2-to 3-quarter project, culminating in a senior thesis, with the guidance of a faculty adviser. Upon successful completion a student is eligible to graduate with departmental honors. Students receive 2 units of 397 Senior Honors Thesis credit for completing the thesis."
COMM_ST,398-0,COMM_ST 398-0 Undergraduate Seminar (1 Unit),Student or faculty initiated seminars to consider special topics. Credit for 398 may be earned more than once. No more than 2 units of such credit may be applied toward fulfillment of the major requirements.
COMM_ST,399-0,COMM_ST 399-0 Independent Study (1 Unit),"Enrollment only by petition in advance. © 2022-2023 Northwestern University Campus Emergency Information Careers Contact Northwestern University Disclaimer Report an Accessibility Issue University Policies Contact Information Office of the Registrar address 633 Clark Street Evanston, IL 60208-1118 Evanston phone number (847) 491-5234 Fax (847) 491-8458 Email Northwestern Registrar's Office nu-registrar@northwestern.edu Social Media Facebook Twitter Instagram YouTube RSS Additional Links Bookstore Directory Library Maps Media Relations Parking Shuttles Student Complaint Procedure Back to Top Print Options Send Page to Printer Print this page. Download Page (PDF) The PDF will include all information unique to this page. Undergraduate Catalog 2024-2025 PDF of the 2024-2025 Undergraduate Catalog. Cancel"
COMP_ENG,203-0,COMP_ENG 203-0 Introduction to Computer Engineering (1 Unit),"Overview of computer engineering design. Number systems and Boolean algebra. CMOS and logic gates. Design of combinational circuits and simplification. Decoders, multiplexers, adders. Sequential logic and flip flops. Introduction to assembly language."
COMP_ENG,205-0,COMP_ENG 205-0 Fundamentals of Computer System Software (1 Unit),Basics of assembly language programming. Macros. System stack and procedure calls. Techniques for writing assembly language programs. Features of Intel x86 architecture. Interfaces between C and assembly codes. COMP_SCI 111-0 or GEN_ENG 205-1 ; COMP_ENG 203-0 recommended.
COMP_ENG,295-0,COMP_ENG 295-0 Special Topics in Computer Engineering (1 Unit),Topics suggested by students or faculty and approved by the department.
COMP_ENG,303-0,COMP_ENG 303-0 Advanced Digital Design (1 Unit),"Overview of digital logic design. Technology review. Delays, timing in combinational and sequential circuits, CAD tools, arithmetic units such as ALUs and multipliers. Introduction to VHDL. COMP_ENG 203-0 ."
COMP_ENG,329-0,COMP_ENG 329-0 The Art of Multicore Concurrent Programming (1 Unit),"Concurrency disciplines and practical programming techniques for multicore processors; synchronization primitives, mutual exclusion, foundation of shared memory, locking, non-blocking synchronization, and transactional memory. COMP_SCI 110-0 or COMP_SCI 111-0 ."
COMP_ENG,334-0,COMP_ENG 334-0 Fundamentals of Blockchains and Decentralization (1 Unit),This course is partly an introduction to the fundamentals of blockchains and decentralized applications and partly a springboard toward deeper understanding and further exploration. The course explains how blockchains work; teaches the underlying fundamentals of distributed consensus; provides hands-on experience through computer assignments; and also touches upon economic and policy issues. COMP_SCI 212-0 or ELEC_ENG 302-0 or equivalent or graduate standing and basic programming skills.
COMP_ENG,346-0,COMP_ENG 346-0 Microcontroller System Design (1 Unit),"Design of hardware and software systems built around microcontrollers. Standard peripherals such as GPIO, timers, and analog inputs. Communication interfaces such as UART, I2C, and SPI. Sensors and device driver design, including interrupts, DMA, and synchronous versus asynchronous design choices. Embedded software development. Hardware/software design tradeoffs. COMP_SCI 211-0 and ( COMP_ENG 205-0 or COMP_SCI 213-0 )."
COMP_ENG,347-1,COMP_ENG 347-1 Microprocessor Systems Project I (1 Unit),"Design, prototype and test individual projects involving microprocessors and related devices such as PAL/FPGA and special purpose ICs. Embedded-system tools such as special purpose compilers and ICE (in-circuit emulation). Manufacturing issues such as PCB layout. Survey of microprocessor platforms. Part I deals with specification and design. COMP_ENG 346-0 ."
COMP_ENG,347-2,COMP_ENG 347-2 Microprocessor Systems Project II (1 Unit),"Design, prototype and test individual projects involving microprocessors and related devices such as PAL/FPGA and special purpose ICs. Embedded-system tools such as special purpose compilers and ICE (in-circuit emulation). Manufacturing issues such as PCB layout. Survey of microprocessor platforms. Part II deals with implementation, testing, and documentation. COMP_ENG 347-1 ."
COMP_ENG,355-0,COMP_ENG 355-0 ASIC and FPGA Design (1 Unit),Overview of computer-aided design tool flow for ASIC and FPGA design. Synthesis from hardware description languages and creation of finite-state machines. Differences between FPGA and ASIC design flows. Exploration of concepts in several projects. COMP_ENG 303-0 .
COMP_ENG,356-0,COMP_ENG 356-0 Introduction to Formal Specification & Verification (1 Unit),"Introduction to formal techniques used for system specifications and verifications: temporal logic, set theory, proofs, and model checking. TLA+ (Temporal Logic of Actions) specifications. Safety and liveness properties. Real-time specs and verifications."
COMP_ENG,357-0,COMP_ENG 357-0 Design Automation in VLSI (1 Unit),"VLSI physical design, including logic design, architectural design, and packaging. Development of CAD tools for VLSI physical design. COMP_SCI 214-0 , COMP_ENG 303-0 ."
COMP_ENG,358-0,COMP_ENG 358-0 Introduction to Parallel Computing (1 Unit),"Introduction to parallel computing for scientists and engineers. Shared-memory parallel architectures and programming, distributed memory, message-passing data-parallel architectures, and programming. COMP_SCI 211-0 or graduate standing."
COMP_ENG,361-0,COMP_ENG 361-0 Computer Architecture I (1 Unit),"Design and understanding of the computer system as a whole unit. Performance evaluation and its role in computer system design; instruction set architecture design, data-path design and optimizations (e.g., ALU); control design; single cycle, multiple cycle, and pipeline implementations of processor. Hazard detection and forwarding; memory hierarchy design; cache memories, virtual memory, peripheral devices, and I/O. COMP_ENG 205-0 or COMP_SCI 213-0 ) AND ( COMP_ENG 303-0 or COMP_ENG 355-0 )."
COMP_ENG,362-0,COMP_ENG 362-0 Computer Architecture Projects (1 Unit),"Quarter-long team project designing a processor for a complete instruction set. Involves ISA design, design of components, data-path, and control for a pipelined processor to implement the ISA. Use of industrial-strength design tools and VHDL as the design specification language. Designs are evaluated using benchmark programs for correctness and performance. COMP_ENG 361-0 ."
COMP_ENG,364-0,COMP_ENG 364-0 CyberPhysical Systems Design and Application (1 Unit),"This course will introduce trends and challenges of modern cyber-physical systems, and review state-of-the-art design paradigms and tools in academia and industry. It will introduce fundamental concepts in the modeling of cyber-physical systems, important models of computation such as dataflow, state machine, and synchronous-reactive semantics, real-time embedded architectures, and synthesis methodologies for generating efficient, correct, and predictable implementations."
COMP_ENG,365-0,"COMP_ENG 365-0 Internet-of-things Sensors, Systems, And Applications (1 Unit)","In-depth review of advanced technology surrounding the Internet-of-Things; including wireless sensing networks, wearables, drones, privacy, machine learning, and energy-efficient computing. Application domains in health, infrastructure monitoring, green computing and others are explored. Following a seminar format with alongside exploration of new research areas through a project proposal."
COMP_ENG,366-0,COMP_ENG 366-0 Embedded Systems (1 Unit),"Introduction to the design and evaluation of embedded systems, with emphasis on the system-level aspects of embedded systems. Topics include modeling (models of computation and models of communication), survey of embedded system hardware, software and operating system issues specific to embedded system design, mapping specifications to hardware, and testing and evaluation of embedded systems."
COMP_ENG,368-0,COMP_ENG 368-0 Programming Massively Parallel Processors with CUDA (1 Unit),"A hands-on introduction to parallel programming and optimizations for 1000+ core GPU processors, their  architecture, the CUDA programming model, and performance analysis. Students implement various optimizations in massively-parallel workloads on modern GPUs. May not receive credit for both COMP_ENG 368-0 and COMP_ENG 468-0 . COMP_SCI 213-0 and ( COMP_SCI 211-0 or COMP_SCI 230-0)) or permission of instructor."
COMP_ENG,369-0,COMP_ENG 369-0 Introduction to Sensor Networks (1 Unit),"Basic hardware and software platforms for sensor networks. Various algorithmic techniques for data routing, query processing, and tracking. COMP_SCI 343-0 or COMP_SCI 340-0 ."
COMP_ENG,387-0,COMP_ENG 387-0 Real-Time Digital Systems Design and Verification with FPGAs (1 Unit),This course covers the systematic design of real-time digital systems and verification techniques using field-programmable gate arrays (FPGAs) and presents a top-down design methodology where students learn how to translate software applications in high-level level languages (such as C/C++) into SystemVerilog models for FPGA architectures. COMP_ENG 303-0 and COMP_ENG 355-0 .
COMP_ENG,391-0,COMP_ENG 391-0 CMOS VLSI Circuit Design (1 Unit),Design of modern CMOS very large-scale integrated (VLSI) circuits.
COMP_ENG,392-0,COMP_ENG 392-0 VLSI Systems Design Projects (1 Unit),"Design of a cutting-edge VLSI chip. Teams of 5 to 10 students undertake a large circuit design problem, going from specification to VLSI implementation while optimizing for speed, area, and/or power. Group collaboration and engineering design. COMP_ENG 391-0 or COMP_ENG 355-0 ."
COMP_ENG,393-0,COMP_ENG 393-0 Advanced Low Power VLSI and Mixed-signal IC Design (1 Unit),"This course provides an in-depth review of the advanced technology in integrated circuit design.  Special focuses will be given to ultra-low power circuit design, error resilient circuit design, machine learning accelerators, power management circuits and basic design of analog mixed-signal circuit.  Following a seminar format, detailed case study on circuit design techniques used by Intel, IBM, etc. will be discussed."
COMP_ENG,395-0,COMP_ENG 395-0 Special Topics in Computer Engineering (1 Unit),Topics suggested by students or faculty and approved by the department.
COMP_ENG,399-0,COMP_ENG 399-0 Projects (1 Unit),"Seminar and projects for advanced undergraduates on subjects of current interest in electrical and computer engineering. © 2022-2023 Northwestern University Campus Emergency Information Careers Contact Northwestern University Disclaimer Report an Accessibility Issue University Policies Contact Information Office of the Registrar address 633 Clark Street Evanston, IL 60208-1118 Evanston phone number (847) 491-5234 Fax (847) 491-8458 Email Northwestern Registrar's Office nu-registrar@northwestern.edu Social Media Facebook Twitter Instagram YouTube RSS Additional Links Bookstore Directory Library Maps Media Relations Parking Shuttles Student Complaint Procedure Back to Top Print Options Send Page to Printer Print this page. Download Page (PDF) The PDF will include all information unique to this page. Undergraduate Catalog 2024-2025 PDF of the 2024-2025 Undergraduate Catalog. Cancel"
COMP_LIT,101-7,COMP_LIT 101-7 College Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
COMP_LIT,101-8,COMP_LIT 101-8 First-Year Writing Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
